Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,108149,52985,23431,15612,3560,4646,4089,8981,4756,8782,3645,7525,12602,6928,7493,14511,5089,3435,2662,36,1172,45,820,424,409,85,36,6401,11004,1938
Afghanistan,AFG,1991,100425,54661,22922,19657,3967,4618,4259,8618,5177,8266,4319,6635,11384,6948,8485,12652,4364,3791,2413,321,1297,33,1244,430,576,19,27,8020,7566,2119
Afghanistan,AFG,1992,106180,47633,15046,21029,5939,5907,3879,10247,5763,6720,5696,6295,14307,12889,6462,13235,4720,3400,3009,534,1073,40,1494,462,247,102,44,5013,6113,1748
Afghanistan,AFG,1993,109489,56630,17256,16470,4962,5531,4055,9559,5316,10186,4664,6980,10633,15820,7363,10448,4404,2448,2048,886,1256,219,1470,471,632,57,24,4017,4942,1925
Afghanistan,AFG,1994,89992,61568,20965,15869,6562,6576,4866,10287,5121,8279,5666,8011,13313,5510,7002,10227,3659,2773,1795,1188,1238,250,1086,634,527,19,20,7453,4104,1813
Afghanistan,AFG,1995,84699,56316,19818,19920,8296,5882,4150,9741,5010,6583,3893,5996,12658,5225,4798,14302,3605,2221,2370,1354,1517,722,1392,534,1887,34,19,4025,5176,1653
Afghanistan,AFG,1996,96409,58090,16515,16336,7876,6513,4737,8576,5802,7323,5791,4642,12440,13739,5613,8624,3687,2435,1640,1812,1274,608,1097,647,5207,25,103,4193,4941,1602
Afghanistan,AFG,1997,85375,61560,15816,18352,7231,6800,5056,11005,5035,8186,4721,5453,8145,8898,7288,12260,3390,2371,2024,2124,1607,1099,1018,681,5981,71,207,5526,4161,1054
Afghanistan,AFG,1998,103181,60036,13687,19819,8108,6084,5237,10148,5955,7356,5234,6199,7273,7995,6497,9597,4475,2037,1533,2636,1771,1475,716,785,15645,74,180,4511,2903,1182
Afghanistan,AFG,1999,113982,53574,15751,16498,10667,6632,5171,9155,6186,7277,4852,6893,3824,8572,4535,10971,3139,2558,1279,2347,1549,1579,899,718,4750,187,216,5488,2380,944
Afghanistan,AFG,2000,83260,58678,13530,13738,9524,8515,5682,9215,5743,5832,4424,7816,4537,8259,4004,12167,3278,1942,1881,3173,1407,1861,797,713,5700,266,298,4086,1416,1164
Afghanistan,AFG,2001,86047,57427,16900,16017,9863,7851,6696,10744,6853,6518,3680,7695,3615,5602,4651,9302,2141,1427,1540,3674,1951,1553,700,833,24522,114,385,3644,1494,1003
Afghanistan,AFG,2002,111256,61629,10972,16454,11735,9320,4768,9488,5569,6939,5407,4022,6017,8018,2009,7358,2996,1529,1199,3621,2083,1473,687,783,9465,460,462,2858,758,949
Afghanistan,AFG,2003,97272,56394,14058,20554,11351,7028,7225,8771,6905,5884,4125,6869,3013,2945,3989,7451,1582,1505,1233,3721,2359,2444,460,1003,18019,152,812,2660,181,848
Afghanistan,AFG,2004,87426,51622,13123,17899,10292,8250,6732,9735,5901,5842,4556,7061,3715,5033,2739,7949,2459,923,1080,4695,2518,2966,412,928,13360,811,745,1955,43,788
Afghanistan,AFG,2005,101868,51929,13837,18749,14890,9022,5093,7500,5438,6457,3458,6789,2115,4573,3199,5586,763,865,902,4681,2129,1961,335,938,25986,555,1179,1613,32,532
Afghanistan,AFG,2006,98576,54886,14062,17799,12856,8192,7086,8871,5715,6363,5550,4651,1079,3024,2438,5518,1479,849,909,4924,2552,3306,257,861,11400,209,822,2031,43,388
Afghanistan,AFG,2007,96278,56832,10478,16653,13960,12356,7397,9064,5381,6492,5226,5886,511,2411,1857,7625,789,559,658,4712,2533,3595,278,1002,12350,619,1115,1012,33,350
Afghanistan,AFG,2008,82199,49197,11942,17824,12601,9623,7240,8699,6872,6200,5482,5839,26,3509,1856,5292,685,411,459,4680,2856,3548,152,1089,13300,876,502,681,44,274
Afghanistan,AFG,2009,101433,60067,9420,20308,16062,11081,6622,9403,6493,5226,4556,5381,50,2000,1347,4825,335,182,521,5784,2541,4004,87,1104,28547,266,1217,467,49,127
Afghanistan,AFG,2010,109059,59060,6544,18322,15680,11109,7568,8523,5799,6796,4825,3622,34,950,782,5245,48,31,358,5996,2653,4462,33,1142,19011,285,1095,47,38,42
Afghanistan,AFG,2011,106975,48670,9134,14830,14982,10547,6813,8701,6055,6075,3828,5101,41,904,515,4535,43,45,260,6466,2549,3173,49,1122,56260,304,1372,35,49,43
